% Column 1: Time (Decimal Year)
% Column 2: Sea Level (mm)
% Column 3: Air Pressure (hPa)
% Column 4: Sea Water Temperature (°C)
% Column 5: Relative Humidity (%)
% Column 6: Wind Speed (m/s)
% Column 7: Temperature (°C)
% Column 8: Water Vapour Pressure ()
% Column 9: Total Precipitation (mm)

1985.9583, 7002, 1015.5, 17.7, 58.8, NaN, 13.3, 9.2, 125.3
1986.0417, 7103, 1012.2, 16.2, 63.3, NaN, 12.8, 9.5, 151.8
1986.125, 7150, 1009.3, 15.4, 67.2, NaN, 12.4, 9.8, 257.1
1986.2083, 6929, 1012.9, 16.2, 63.1, NaN, 13.9, 10, 6
1986.2917, 6992, 1009, 17.7, 54.2, NaN, 18.4, 11.2, 7
1986.375, 6985, 1008.7, 19.2, 47, NaN, 20.7, 11.5, 18.2
1986.4583, 7038, 1005.9, 22.4, 56.7, NaN, 24.9, 17.8, 5.7
1986.5417, 7073, 1005.6, 23.1, 48.7, NaN, 27.9, 17.6, 0
1986.625, 7087, 1005, 23.6, 56.9, NaN, 27.7, 20.7, 0
1986.7083, 7089, 1009.1, 22.6, 56.8, NaN, 25.2, 17.9, 61.5
1986.7917, 7027, 1012.2, 21.9, 53.4, NaN, 19.2, 11.9, 53.2
1986.875, 6964, 1015.3, 20, 55.1, NaN, 13.9, 9.1, 92.5
1986.9583, 6979, 1013.9, 17, 62, NaN, 11.8, 8.8, 76.8
1987.0417, 7068, 1013.1, 15.6, 67.2, NaN, 12.6, 10.1, 85.3
1987.125, 7035, 1011.3, 15.7, 65.2, NaN, 12.5, 9.7, 44.6
1987.2083, 7004, 1008.9, 15.2, 61.3, NaN, 9.6, 7.5, 103.2
1987.2917, 6998, 1010.9, 17, 62.3, NaN, 15.4, 10.8, 41.9
1987.375, 6994, 1009.6, 18.6, 61.9, NaN, 18.9, 13.6, 22.5
1987.4583, 6991, 1008.2, 21.1, 48.1, NaN, 25.3, 15.2, 3.6
1987.5417, 7064, 1004.9, 23.7, 51.4, NaN, 28.8, 19.8, 0
1987.625, 7061, 1006, 22.7, 47.9, NaN, 27.8, 17.7, 0
1987.7083, 7043, 1009.4, 21.3, 50.6, NaN, 25.3, 15.6, 0
1987.7917, 7048, 1013, 20.4, 49.8, NaN, 19.8, 11.5, 3
1987.875, 7019, 1014.4, 18, 63, NaN, 15.1, 10.8, 67.7
1987.9583, 7092, 1013.8, 16, 59, NaN, 11.9, 8.8, 99.4
1988.0417, 6987, 1014.2, 15.5, 61.3, NaN, 11.9, 8.8, 153.2
1988.125, 7008, 1011.1, 15.5, 63.4, NaN, 11.1, 8.5, 132.3
1988.2083, 7017, 1008.8, 15.3, 64.7, NaN, 11.9, 9, 208.6
1988.2917, 6956, 1011.4, 17, 57.6, NaN, 16, 10.4, 32
1988.375, 6930, 1009.9, 19.5, 54, NaN, 21.1, 13.3, 4.1
1988.4583, 6978, 1006.7, 22.4, 45.8, NaN, 25.4, 14.8, 0
1988.5417, 7024, 1003.2, 23.7, 37.2, NaN, 30.2, 15.7, 0
1988.625, 7060, 1003.8, 25.2, 42.2, NaN, 28.5, 16.3, 0
1988.7083, 7012, 1009.2, 23.4, 45.7, NaN, 25, 14, 0
1988.7917, 6991, 1011.9, 21.2, 49.7, NaN, 19.7, 11.3, 14
1988.875, 6964, 1014.9, 18, 57, NaN, 13.1, 9, 211.4
1988.9583, 6991, 1012.6, 16.2, 61.8, NaN, 12.2, 9.1, 126.2
1989.0417, 6866, 1020.3, 14.3, 44.1, NaN, 9.2, 5.2, 42.1
1989.125, 6752, 1018.4, 14.5, 47.1, NaN, 11.2, 6.5, 24.7
1989.2083, NaN, 1010.8, 15.7, 62, NaN, 14.4, 9.9, 83.9
1989.2917, NaN, 1011.2, 17.1, 52, NaN, 18.8, 11, 2.1
1989.375, 7013, 1011.8, 19, 50, NaN, 20, 11.5, 7.5
1989.4583, 6968, 1008.7, 21.1, 46.1, NaN, 24, 13.5, 5.6
1989.5417, NaN, 1005.8, 21.6, 38.5, NaN, 27.9, 14, 0
1989.625, 7162, 1004.5, 24, 49.8, NaN, 27.3, 17.6, 0
1989.7083, NaN, 1008.9, 24.3, 46.2, NaN, 24.9, 14.3, 0
1989.7917, NaN, 1011.8, 21.8, 55.5, NaN, 18.8, 12.1, 59.4
1989.875, 7208, 1012.2, 19.8, 64.4, NaN, 15, 11.4, 141.6
1989.9583, NaN, 1015.3, 16.9, 60.5, NaN, 12.4, 9.3, 109
1990.0417, NaN, 1019.4, 16.3, 48.8, NaN, 9.8, 6.2, 1.4
1990.125, 7139, 1013.2, 15.9, 50.6, NaN, 11.5, 7, 81.4
1990.2083, 6980, 1016.9, 16.2, 51.8, NaN, 14.1, 8.4, 14.8
1990.2917, 6931, 1010.5, 17.8, 56, NaN, 16.8, 10.7, 22.8
1990.375, NaN, 1010.4, 18.8, 45.4, NaN, 20.6, 11.2, 0
1990.4583, 6947, 1007.7, 20, 44.3, NaN, 24.6, 13.2, 0
1990.5417, 7027, 1003.4, 23.1, 43.1, NaN, 28.1, 15.9, 0
1990.625, 7040, 1005.1, 23.8, 46.4, NaN, 26.9, 16.1, 15.1
1990.7083, 7033, 1007.8, 23.3, 48.8, NaN, 23.9, 14.3, 0.4
1990.7917, 7027, 1012, 22.4, 55.4, NaN, 20.6, 13.3, 6.2
1990.875, 7011, 1013.7, 20.2, 63.8, NaN, 17.5, 13.2, 61.4
1990.9583, 7052, 1014.1, 18.5, 62.4, NaN, 13.5, 9.8, 211.1
1991.0417, NaN, 1015.5, 17, 59.6, NaN, 10.6, 8, 62.3
1991.125, NaN, 1014, 15.6, 58.3, NaN, 11, 8, 37
1991.2083, NaN, 1011.4, 16.3, 60.6, NaN, 14.4, 9.9, 64.3
1991.2917, 6851, 1009.5, 17, 54.2, NaN, 15.8, 9.6, 71.6
1991.375, 6854, 1010.7, 18.7, 56.6, NaN, 18.5, 12, 34.2
1991.4583, 6918, 1006.5, 20.3, 46.5, NaN, 25.2, 14.7, 0
1991.5417, 6989, 1004.1, 22.9, 48.8, NaN, 27, 16.9, 0
1991.625, 7013, 1004.4, 23.8, 44.8, NaN, 27.9, 16.5, 0
1991.7083, 6926, 1010, 22.3, 43.3, NaN, 24.4, 12.8, 0
1991.7917, 6949, 1011.9, 21.3, 54.7, NaN, 20.7, 13, 40.1
1991.875, 6930, 1014.3, 19.2, 55.6, NaN, 15.9, 10, 21.6
1991.9583, 6950, 1010.9, 16.9, 55.3, NaN, 9.4, 6.7, 192.8
1992.0417, 6814, 1019, 15.9, 42.7, NaN, 10, 5.5, 5.6
1992.125, 6744, 1014.8, 14.8, 41.6, NaN, 8.3, 4.8, 64.5
1992.2083, 6776, 1014, 15.2, 48.8, NaN, 11.9, 6.8, 52.8
